issuer,"total_certs","risky_certs","risk_percent",tier,zscore
"/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./OU=http:\\/\\/certs.godaddy.com\\/repository\\//CN=Go Daddy Secure Certificate Authority - G2",10289248,3495113,"33.97",tier4,"3.876"
"/C=AT/O=ZeroSSL/CN=ZeroSSL RSA Domain Secure Site CA",8140872,2242672,"27.55",tier4,"3.017"
"/C=GB/ST=Greater Manchester/L=Salford/O=Sectigo Limited/CN=Sectigo RSA Domain Validation Secure Server CA",54012771,14208272,"26.31",tier4,"2.851"
"/C=CN/O=TrustAsia Technologies, Inc./CN=TrustAsia RSA DV TLS CA G2",693647,151705,"21.87",tier4,"2.257"
"/C=US/O=Google Trust Services LLC/CN=GTS CA 1D4",17771678,3715428,"20.91",tier4,"2.129"
"/C=PL/O=home.pl S.A./CN=Certyfikat SSL",215931,41523,"19.23",tier4,"1.904"
"/C=LV/L=Riga/O=GoGetSSL/CN=GoGetSSL RSA DV CA",257721,47659,"18.49",tier4,"1.805"
"/C=PL/O=Unizeto Technologies S.A./OU=Certum Certification Authority/CN=Certum Domain Validation CA SHA2",375873,67142,"17.86",tier4,"1.721"
"/C=CN/O=TrustAsia Technologies, Inc./OU=Domain Validated SSL/CN=TrustAsia TLS RSA CA",3344714,542667,"16.22",tier4,"1.502"
"/C=US/ST=TX/L=Houston/O=cPanel, Inc./CN=cPanel, Inc. ECC Certification Authority",376937,60581,"16.07",tier4,"1.481"
"/C=PL/O=nazwa.pl sp. z o.o./OU=http:\\/\\/nazwa.pl/CN=nazwaSSL",1685680,260518,"15.45",tier4,"1.399"
"/C=NO/O=Buypass AS-983163327/CN=Buypass Class 2 CA 5",133170,20410,"15.33",tier4,"1.382"
"/C=US/ST=TX/L=Houston/O=cPanel, Inc./CN=cPanel, Inc. Certification Authority",89640434,13309714,"14.85",tier4,"1.32"
"/C=US/O=Let's Encrypt/CN=R3",877127230,126462404,"14.42",tier4,"1.26"
"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=Encryption Everywhere DV TLS CA - G1",44082014,5551754,"12.59",tier4,"1.02"
"/C=FR/ST=Paris/L=Paris/O=Gandi/CN=Gandi Standard SSL CA 2",659157,81953,"12.43",tier4,"0.994"
"/C=US/ST=VA/L=Herndon/O=Network Solutions L.L.C./CN=Network Solutions DV Server CA 2",153478,18622,"12.13",tier4,"0.954"
"/C=JP/O=Japan Registry Services Co., Ltd./CN=JPRS Domain Validation Authority - G4",141808,16326,"11.51",tier4,"0.871"
"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=Encryption Everywhere DV TLS CA - G2",4451787,493885,"11.09",tier4,"0.815"
"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./OU=http:\\/\\/certs.starfieldtech.com\\/repository\\//CN=Starfield Secure Certificate Authority - G2",1184570,120358,"10.16",tier4,"0.691"
"/C=BE/O=GlobalSign nv-sa/CN=GlobalSign Domain Validation CA - SHA256 - G3",459490,46661,"10.15",tier4,"0.689"
"/C=AT/O=ZeroSSL/CN=ZeroSSL ECC Domain Secure Site CA",9931433,973093,"9.80",tier4,"0.643"
"/C=US/ST=Texas/L=Houston/O=SSL Corporation/CN=SSL.com RSA SSL subCA",241754,22770,"9.42",tier4,"0.592"
"/C=US/O=DigiCert, Inc./CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1",110120,10120,"9.19",tier4,"0.561"
"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=UbiquiTLS\\xE2\\x84\\xA2 DV RSA Server CA",306545,28049,"9.15",tier4,"0.556"
