"root_ca","total_certs","risky_certs","risk_percent",tier,zscore
"/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./CN=Go Daddy Root Certificate Authority - G2",10288790,3495095,"33.97",tier4,"3.341"
"/C=US/ST=New Jersey/L=Jersey City/O=The USERTRUST Network/CN=USERTrust RSA Certification Authority",65198821,16528521,"25.35",tier4,"2.310"
"/C=GB/ST=Greater Manchester/L=Salford/O=Comodo CA Limited/CN=AAA Certificate Services",1429856,283522,"19.83",tier4,"1.650"
"/C=PL/O=Unizeto Technologies S.A./OU=Certum Certification Authority/CN=Certum Trusted Network CA",2423281,382727,"15.79",tier4,"1.17"
"/C=US/O=Internet Security Research Group/CN=ISRG Root X1",861665191,125180925,"14.53",tier4,"1.02"
"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority",93476404,13359082,"14.29",tier4,"0.987"
"/C=NO/O=Buypass AS-983163327/CN=Buypass Class 2 Root CA",168955,20584,"12.18",tier4,"0.735"
"/C=US/ST=Texas/L=Houston/O=SSL Corporation/CN=SSL.com Root Certification Authority RSA",260983,26830,"10.28",tier4,"0.507"
"/C=BE/O=GlobalSign nv-sa/OU=Root CA/CN=GlobalSign Root CA",39008432,3804666,"9.75",tier4,"0.444"
"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA",80480701,6290176,"7.82",tier4,"0.213"
"/C=US/ST=New Jersey/L=Jersey City/O=The USERTRUST Network/CN=USERTrust ECC Certification Authority",12865594,989458,"7.69",tier4,"0.198"
"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Root Certificate Authority - G2",1733430,120647,"6.96",tier4,"0.11"
"/O=Digital Signature Trust Co./CN=DST Root CA X3",757966004,35051200,"4.62",tier4,"-0.170"
"/C=JP/O=SECOM Trust Systems CO.,LTD./OU=Security Communication RootCA2",480965,21366,"4.44",tier4,"-0.191"
"/C=US/O=GTE Corporation/OU=GTE CyberTrust Solutions, Inc./CN=GTE CyberTrust Global Root",550676,17631,"3.20",tier4,"-0.340"
"/C=US/O=Amazon/CN=Amazon Root CA 1",40908370,1014645,"2.48",tier4,"-0.426"
"/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root",149183381,3595497,"2.41",tier4,"-0.434"
"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root G2",27664638,507246,"1.83",tier4,"-0.503"
"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority",12940927,60687,"0.47",tier4,"-0.666"
"/C=BM/O=QuoVadis Limited/CN=QuoVadis Root CA 2 G3",260288,769,"0.30",tier4,"-0.687"
"/C=DE/O=T-Systems Enterprise Services GmbH/OU=T-Systems Trust Center/CN=T-TeleSec GlobalRoot Class 2",296824,884,"0.30",tier4,"-0.687"
"/OU=GlobalSign Root CA - R3/O=GlobalSign/CN=GlobalSign",4665284,12805,"0.27",tier4,"-0.690"
"/C=US/O=Entrust, Inc./OU=See www.entrust.net\/legal-terms/OU=(c) 2009 Entrust, Inc. - for authorized use only/CN=Entrust Root Certification Authority - G2",2339445,4742,"0.20",tier4,"-0.698"
"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA",10092368,14167,"0.14",tier4,"-0.706"
"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Assured ID Root CA",147982,137,"0.09",tier4,"-0.712"
"/OU=GlobalSign Root CA - R2/O=GlobalSign/CN=GlobalSign",7688491,3624,"0.05",tier4,"-0.716"
"/C=BM/O=QuoVadis Limited/CN=QuoVadis Root CA 2",1338331,241,"0.02",tier4,"-0.720"
"/C=GB/ST=London/O=Google UK Ltd./OU=Certificate Transparency/CN=Merge Delay Monitor Root",417196,"0.0","0.0",tier4,"-0.72"
"/CN=ct-woodpecker CA51b4a4",173774,"0.0","0.0",tier4,"-0.72"
"/C=IT/L=Milan/O=Actalis S.p.A.\/03358520967/CN=Actalis Authentication Root CA",2829160,389,"0.01",tier4,"-0.721"
"/C=US/ST=UT/L=Salt Lake City/O=The USERTRUST Network/OU=http:\/\/www.usertrust.com/CN=UTN - DATACorp SGC",267319,17,"0.01",tier4,"-0.721"
"/C=US/O=Google Trust Services LLC/CN=GTS Root R4",187987,9,"0.00",tier4,"-0.722"
"/C=US/O=IdenTrust/CN=IdenTrust Commercial Root CA 1",3443366,98,"0.00",tier4,"-0.722"
"/C=TR/L=Ankara/O=E-Tu\xC4\x9Fra EBG Bili\xC5\x9Fim Teknolojileri ve Hizmetleri A.\xC5\x9E./OU=E-Tugra Sertifikasyon Merkezi/CN=E-Tugra Certification Authority",49565,9596,"19.36",tier3,"4.505"
"/C=PA/ST=Panama/L=Panama City/O=TrustCor Systems S. de R.L./OU=TrustCor Certificate Authority/CN=TrustCor RootCert CA-1",20339,1329,"6.53",tier3,"1.20"
"/C=CN/O=WoSign CA Limited/CN=CA \xE6\xB2\x83\xE9\x80\x9A\xE6\xA0\xB9\xE8\xAF\x81\xE4\xB9\xA6",22697,1472,"6.49",tier3,"1.18"
"/C=CN/O=WoSign CA Limited/CN=Certification Authority of WoSign",33401,1972,"5.90",tier3,"1.03"
"/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root",72380,2387,"3.30",tier3,"0.362"
"/C=IL/O=StartCom Ltd./OU=Secure Digital Certificate Signing/CN=StartCom Certification Authority",97433,3147,"3.23",tier3,"0.344"
"/C=HU/L=Budapest/O=NetLock Kft./OU=Tan\xC3\xBAs\xC3\xADtv\xC3\xA1nykiad\xC3\xB3k (Certification Services)/CN=NetLock Arany (Class Gold) F\xC5\x91tan\xC3\xBAs\xC3\xADtv\xC3\xA1ny",12955,208,"1.61",tier3,"-0.074"
"/C=US/O=GeoTrust Inc./CN=GeoTrust Global CA",73174,1022,"1.40",tier3,"-0.13"
"/O=TeliaSonera/CN=TeliaSonera Root CA v1",35826,436,"1.22",tier3,"-0.17"
"/C=US/O=SecureTrust Corporation/CN=SecureTrust CA",52535,542,"1.03",tier3,"-0.22"
"/C=US/O=VeriSign, Inc./OU=VeriSign Trust Network/OU=(c) 2008 VeriSign, Inc. - For authorized use only/CN=VeriSign Universal Root Certification Authority",14643,106,"0.72",tier3,"-0.304"
"/C=CH/O=SwissSign AG/CN=SwissSign Gold CA - G2",54251,373,"0.69",tier3,"-0.311"
"/C=NL/O=Staat der Nederlanden/CN=Staat der Nederlanden EV Root CA",31538,211,"0.67",tier3,"-0.317"
"/C=FR/O=Dhimyotis/CN=Certigna",21894,108,"0.49",tier3,"-0.363"
"/C=CH/O=SwissSign AG/CN=SwissSign Silver CA - G2",18538,80,"0.43",tier3,"-0.379"
"/C=TW/O=Chunghwa Telecom Co., Ltd./OU=ePKI Root Certification Authority",32787,124,"0.38",tier3,"-0.391"
"/C=US/O=thawte, Inc./OU=Certification Services Division/OU=(c) 2006 thawte, Inc. - For authorized use only/CN=thawte Primary Root CA",14106,31,"0.22",tier3,"-0.433"
"/O=Cybertrust, Inc/CN=Cybertrust Global Root",16681,33,"0.20",tier3,"-0.438"
"/C=DE/O=D-Trust GmbH/CN=D-TRUST Root Class 3 CA 2 2009",37580,68,"0.18",tier3,"-0.443"
"/C=US/O=VeriSign, Inc./OU=VeriSign Trust Network/OU=(c) 2006 VeriSign, Inc. - For authorized use only/CN=VeriSign Class 3 Public Primary Certification Authority - G5",52692,92,"0.17",tier3,"-0.446"
"/C=US/O=AffirmTrust/CN=AffirmTrust Commercial",32274,45,"0.14",tier3,"-0.453"
"/OU=GlobalSign ECC Root CA - R5/O=GlobalSign/CN=GlobalSign",22425,32,"0.14",tier3,"-0.453"
"/C=NL/O=Staat der Nederlanden/CN=Staat der Nederlanden Root CA - G3",52625,66,"0.13",tier3,"-0.456"
"/C=TW/O=TAIWAN-CA/OU=Root CA/CN=TWCA Global Root CA",87628,108,"0.12",tier3,"-0.459"
